dysfunc,negtone,negexp,perform,division,d1,d2,d3,eval
-0.23,-0.51,-0.49,0.12,1,1,0,0,1
-0.13,0.22,-0.49,0.52,1,1,0,0,1
0,-0.08,0.84,-0.08,1,1,0,0,0
-0.33,-0.11,0.84,-0.08,1,1,0,0,0
0.39,-0.48,0.17,0.12,1,1,0,0,1
1.02,0.72,-0.82,1.12,1,1,0,0,1
-0.35,-0.18,-0.66,-0.28,1,1,0,0,0
-0.23,-0.13,-0.16,0.32,2,0,1,0,1
0.39,0.52,-0.16,-1.08,2,0,1,0,0
-0.08,-0.26,-0.16,-0.28,2,0,1,0,0
-0.23,1.08,-0.16,-1.08,2,0,1,0,0
0.09,0.53,0.5,-0.28,4,0,0,0,0
-0.29,-0.19,0.84,-0.28,4,0,0,0,0
-0.06,0.15,0.5,-0.88,3,0,0,1,0
0.27,0.73,-0.16,-0.08,3,0,0,1,0
0.18,-0.18,-0.16,0.32,3,0,0,1,1
0.38,0.22,-1.16,0.52,3,0,0,1,1
0.43,0.52,0.5,-0.68,3,0,0,1,0
0.03,0.2,0.6,-0.23,1,1,0,0,0
-0.5,-0.68,0.26,0.17,1,1,0,0,1
0.03,0.31,-0.4,0.17,1,1,0,0,1
0.41,0.75,-1.06,-0.23,1,1,0,0,0
-0.08,-0.48,-0.06,-0.23,1,1,0,0,0
0.66,1.45,0.6,-1.23,1,1,0,0,0
0.28,-0.45,-0.4,0.37,1,1,0,0,1
-0.33,0.55,0.93,-0.43,1,1,0,0,0
0.53,1.95,0.6,-1.03,1,1,0,0,0
-0.08,0.6,-0.73,-0.43,1,1,0,0,0
-0.08,-0.45,0.6,0.37,1,1,0,0,1
-0.33,0.05,-0.4,0.17,2,0,1,0,1
-0.03,-0.15,0.26,0.97,2,0,1,0,1
0.06,-0.12,-0.4,-0.03,2,0,1,0,1
-0.33,-0.75,-0.06,-0.03,2,0,1,0,1
-0.03,-0.19,-0.4,-0.63,4,0,0,0,0
0.56,-0.11,-0.4,-0.43,4,0,0,0,0
-0.08,-0.16,0.1,-0.83,4,0,0,0,0
0.75,0.32,0.93,-0.03,4,0,0,0,1
0.46,0.23,0.26,0.57,4,0,0,0,1
-0.5,-0.88,-0.4,-0.03,4,0,0,0,1
0.18,-0.23,0.1,0.17,4,0,0,0,1
0.16,0.08,-0.06,-0.03,4,0,0,0,1
-0.5,-1.01,-0.06,-0.03,4,0,0,0,1
-0.42,-0.61,-0.06,0.37,4,0,0,0,1
-0.21,-0.35,-0.4,-0.03,4,0,0,0,1
-0.08,-0.41,0.26,0.17,3,0,0,1,1
-0.27,0.45,0.26,-0.43,3,0,0,1,0
-0.15,0.22,0.6,-0.03,3,0,0,1,1
-0.18,-0.15,-0.06,0.97,3,0,0,1,1
0.26,-0.05,-0.73,-0.43,3,0,0,1,0
-0.13,-0.02,0.93,0.37,3,0,0,1,1
0.41,0.05,-0.06,-0.43,3,0,0,1,0
0.22,0,-0.73,0.97,3,0,0,1,1
-0.46,0.05,-0.73,0.17,3,0,0,1,1
-0.33,0.51,0.6,-0.03,3,0,0,1,1
-0.42,-0.35,-0.06,-0.43,3,0,0,1,0
0.08,0.28,-0.4,0.17,3,0,0,1,1
1.16,-0.25,0.93,0.97,3,0,0,1,1
-0.19,-0.15,0.26,0.37,3,0,0,1,1
-0.08,0.05,-0.4,-0.03,3,0,0,1,1
0.41,0.16,-0.73,0.37,3,0,0,1,1
